,Deutsch,Wissenschaftlich
152,Stelzenläufer,Himantopus+himantopus
153,Säbelschnäbler,Recurvirostra+avosetta
154,Kiebitz,Vanellus+vanellus
155,Spornkiebitz,Vanellus+spinosus
156,Rotlappenkiebitz,Vanellus+indicus
157,Steppenkiebitz,Vanellus+gregarius
158,Weißschwanzkiebitz,Vanellus+leucurus
159,Goldregenpfeifer,Pluvialis+apricaria
160,Tundra-Goldregenpfeifer,Pluvialis+fulva
161,Prärie-Goldregenpfeifer,Pluvialis+dominica
162,Kiebitzregenpfeifer,Pluvialis+squatarola
163,Sandregenpfeifer,Charadrius+hiaticula
164,Amerikanischer Sandregenpfeifer,Charadrius+semipalmatus
165,Flussregenpfeifer,Charadrius+dubius
166,Keilschwanz-Regenpfeifer,Charadrius+vociferus
167,Seeregenpfeifer,Charadrius+alexandrinus
168,Mongolenregenpfeifer,Charadrius+mongolus
169,Wüstenregenpfeifer,Charadrius+leschenaultii
170,Wermutregenpfeifer,Charadrius+asiaticus
171,Mornellregenpfeifer,Charadrius+morinellus
172,Prärieläufer,Bartramia+longicauda
173,Regenbrachvogel,Numenius+phaeopus
174,Zwergbrachvogel,Numenius+minutus
175,Eskimobrachvogel,Numenius+borealis
176,Dünnschnabel-Brachvogel,Numenius+tenuirostris
177,Brachvogel,Numenius+arquata
178,Pfuhlschnepfe,Limosa+lapponica
179,Uferschnepfe,Limosa+limosa
180,Hudsonschnepfe,Limosa+haemastica
181,Steinwälzer,Arenaria+interpres
182,Anadyrknutt,Calidris+tenuirostris
183,Knutt,Calidris+canutus
184,Kampfläufer,Calidris+pugnax
185,Sumpfläufer,Calidris+falcinellus
186,Spitzschwanz-Strandläufer,Calidris+acuminata
187,Bindenstrandläufer,Calidris+himantopus
188,Sichelstrandläufer,Calidris+ferruginea
189,Temminckstrandläufer,Calidris+temminckii
190,Langzehen-Strandläufer,Calidris+subminuta
191,Rotkehl-Strandläufer,Calidris+ruficollis
192,Sanderling,Calidris+alba
193,Alpenstrandläufer,Calidris+alpina
194,Meerstrandläufer,Calidris+maritima
195,Bairdstrandläufer,Calidris+bairdii
196,Zwergstrandläufer,Calidris+minuta
197,Wiesenstrandläufer,Calidris+minutilla
198,Weißbürzel-Strandläufer,Calidris+fuscicollis
199,Grasläufer,Calidris+subruficollis
200,Graubrust-Strandläufer,Calidris+melanotos
201,Sandstrandläufer,Calidris+pusilla
202,Bergstrandläufer,Calidris+mauri
203,Tundraschlammläufer,Limnodromus+scolopaceus
204,Moorschlammläufer,Limnodromus+griseus
205,Waldschnepfe,Scolopax+rusticola
206,Zwergschnepfe,Lymnocryptes+minimus
207,Doppelschnepfe,Gallinago+media
208,Bekassine,Gallinago+gallinago
209,Terekwasserläufer,Xenus+cinereus
210,Wilsonwassertreter,Phalaropus+tricolor
211,Odinshühnchen,Phalaropus+lobatus
212,Thorshühnchen,Phalaropus+fulicarius
213,Flussuferläufer,Actitis+hypoleucos
214,Drosseluferläufer,Actitis+macularius
215,Waldwasserläufer,Tringa+ochropus
216,Einsamer Wasserläufer,Tringa+solitaria
217,Grauschwanz-Wasserläufer,Tringa+brevipes
218,Gelbschenkel,Tringa+flavipes
219,Rotschenkel,Tringa+totanus
220,Teichwasserläufer,Tringa+stagnatilis
221,Bruchwasserläufer,Tringa+glareola
