,Deutsch,Wissenschaftlich
629,Tüpfelastrild,Amandava+amandava
630,Alpenbraunelle,Prunella+collaris
631,Bergbraunelle,Prunella+montanella
632,Steinbraunelle,Prunella+ocularis
633,Heckenbraunelle,Prunella+modularis
634,Schafstelze,Motacilla+flava
635,Zitronenstelze,Motacilla+citreola
636,Gebirgsstelze,Motacilla+cinerea
637,Bachstelze,Motacilla+alba
638,Spornpieper,Anthus+richardi
639,Steppenpieper,Anthus+godlewskii
640,Brachpieper,Anthus+campestris
641,Wiesenpieper,Anthus+pratensis
642,Baumpieper,Anthus+trivialis
643,Waldpieper,Anthus+hodgsoni
644,Petschorapieper,Anthus+gustavi
645,Rotkehlpieper,Anthus+cervinus
646,Pazifikpieper,Anthus+rubescens
647,Bergpieper,Anthus+spinoletta
648,Strandpieper,Anthus+petrosus
649,Buchfink,Fringilla+coelebs
650,Bergfink,Fringilla+montifringilla
651,Kernbeißer,Coccothraustes+coccothraustes
652,Hakengimpel,Pinicola+enucleator
653,Gimpel,Pyrrhula+pyrrhula
654,Rotflügelgimpel,Rhodopechys+sanguineus
655,Wüstengimpel,Bucanetes+githagineus
656,Karmingimpel,Carpodacus+erythrinus
657,Berggimpel,Carpodacus+rubicilla
658,Rosengimpel,Carpodacus+roseus
659,Hausgimpel,Haemorhous+mexicanus
660,Grünfink,Chloris+chloris
661,Chinagrünfink,Chloris+sinica
662,Weißflügelgimpel,Rhodospiza+obsoleta
663,Berghänfling,Linaria+flavirostris
664,Bluthänfling,Linaria+cannabina
665,Taigabirkenzeisig,Acanthis+flammea
666,Polarbirkenzeisig,Acanthis+hornemanni
667,Kiefernkreuzschnabel,Loxia+pytyopsittacus
668,Schottlandkreuzschnabel,Loxia+scotica
669,Fichtenkreuzschnabel,Loxia+curvirostra
670,Bindenkreuzschnabel,Loxia+leucoptera
671,Stieglitz,Carduelis+carduelis
672,Zitronenzeisig,Carduelis+citrinella
673,Rotstirngirlitz,Serinus+pusillus
674,Girlitz,Serinus+serinus
675,Erlenzeisig,Spinus+spinus
676,Spornammer,Calcarius+lapponicus
677,Schneeammer,Plectrophenax+nivalis
678,Grauammer,Emberiza+calandra
679,Goldammer,Emberiza+citrinella
680,Fichtenammer,Emberiza+leucocephalos
681,Zippammer,Emberiza+cia
682,Steinortolan,Emberiza+buchanani
683,Türkenammer,Emberiza+cineracea
684,Ortolan,Emberiza+hortulana
685,Grauortolan,Emberiza+caesia
686,Zaunammer,Emberiza+cirlus
687,Wüstenammer,Emberiza+striolata
688,Zwergammer,Emberiza+pusilla
689,Gelbbrauenammer,Emberiza+chrysophrys
690,Waldammer,Emberiza+rustica
691,Gelbkehlammer,Emberiza+elegans
692,Weidenammer,Emberiza+aureola
693,Rötelammer,Emberiza+rutila
694,Kappenammer,Emberiza+melanocephala
695,Braunkopfammer,Emberiza+bruniceps
696,Maskenammer,Emberiza+spodocephala
697,Rohrammer,Emberiza+schoeniclus
698,Fuchsammer,Passerella+iliaca
699,Singammer,Melospiza+melodia
700,Dachsammer,Zonotrichia+leucophrys
701,Weißkehlammer,Zonotrichia+albicollis
702,Winterammer,Junco+hyemalis
703,Grasammer,Passerculus+sandwichensis
704,Rötelgrundammer,Pipilo+erythrophthalmus
705,Reisstärling,Dolichonyx+oryzivorus
706,Baltimoretrupial,Icterus+galbula
707,Braunkopf-Kuhstärling,Molothrus+ater
708,Pieperwaldsänger,Seiurus+aurocapilla
709,Drosselwaldsänger,Parkesia+noveboracensis
710,Blauflügel-Waldsänger,Vermivora+cyanoptera
711,Kletterwaldsänger,Mniotilta+varia
712,Weidengelbkehlchen,Geothlypis+trichas
713,Rotschwanz-Waldsänger,Setophaga+ruticilla
714,Tigerwaldsänger,Setophaga+tigrina
715,Meisenwaldsänger,Setophaga+americana
716,Braunkehl-Waldsänger,Setophaga+castanea
717,Fichtenwaldsänger,Setophaga+fusca
718,Goldwaldsänger,Setophaga+petechia
719,Gelbscheitel-Waldsänger,Setophaga+pensylvanica
720,Streifenwaldsänger,Setophaga+striata
721,Kronenwaldsänger,Setophaga+coronata
722,Kanadawaldsänger,Cardellina+canadensis
723,Mönchswaldsänger,Cardellina+pusilla
724,Sommerkardinal,Piranga+rubra
725,Scharlachkardinal,Piranga+olivacea
726,Rosenbrust-Kernknacker,Pheucticus+ludovicianus
727,Indigofink,Passerina+cyanea
728,Alpenbirkenzeisig,Acanthis+cabaret
